time,concso4
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,1.1309224232028696
2004-02-15,1.525263642465373
2004-03-15,1.568811591039036
2004-04-15,1.4369954675398935
2004-05-15,1.391607168905902
2004-06-15,1.7285887104319357
2004-07-15,1.6496343314738715
2004-08-15,1.308497296318466
2004-09-15,2.16098553978897
2004-10-15,1.5413982183367452
2004-11-15,1.3730846197827333
2004-12-15,1.1480759143473689
2005-01-15,1.2969005699109173
2005-02-15,2.721758846324884
2005-03-15,2.3744297319456957
2005-04-15,1.9253142886844432
2005-05-15,1.8979975553688826
2005-06-15,2.136330277399894
2005-07-15,2.509576197387519
2005-08-15,1.556860520213478
2005-09-15,1.9792390664795472
2005-10-15,1.9376197039280096
2005-11-15,1.2282866053329178
2005-12-15,1.3529514142140715
2006-01-15,1.6950548432367725
2006-02-15,2.2814329067159265
2006-03-15,1.5916506994361255
2006-04-15,1.997570637767036
2006-05-15,1.788195217688209
2006-06-15,2.31962139404335
2006-07-15,2.634389682248256
2006-08-15,1.5066080391140986
2006-09-15,1.5909949321690318
2006-10-15,1.4886925835742302
2006-11-15,2.000209813399865
2006-12-15,1.2673625312713985
2007-01-15,1.2909264987312705
2007-02-15,1.1052439575861532
2007-03-15,1.7472401120707435
2007-04-15,2.5124952024533505
2007-05-15,2.0816123901550783
2007-06-15,3.3615608009771822
2007-07-15,2.384093670618652
2007-08-15,2.5380595415562137
2007-09-15,2.867000686106346
2007-10-15,3.4422949553075157
2007-11-15,1.644602418578641
2007-12-15,1.2263538175983262
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
