time,concNnh3
2000-01-15,0.6383870967741937
2000-02-15,0.5924137931034484
2000-03-15,0.8654838709677422
2000-04-15,1.0466666666666666
2000-05-15,2.1706451612903224
2000-06-15,1.0620000000000003
2000-07-15,1.5288000000000002
2000-08-15,0.9075
2000-09-15,0.3453333333333333
2000-10-15,0.3126666666666668
2000-11-15,0.4813333333333334
2000-12-15,1.028064516129032
2001-01-15,0.7796774193548387
2001-02-15,0.7592857142857142
2001-03-15,0.44516129032258067
2001-04-15,0.5915384615384615
2001-05-15,2.036551724137931
2001-06-15,1.2346666666666666
2001-07-15,1.2239285714285715
2001-08-15,0.7576666666666667
2001-09-15,0.7700000000000002
2001-10-15,0.6045161290322582
2001-11-15,0.6010000000000001
2001-12-15,1.393548387096774
2002-01-15,0.7361290322580645
2002-02-15,0.6232142857142857
2002-03-15,0.5280645161290322
2002-04-15,1.2006896551724138
2002-05-15,
2002-06-15,0.7479310344827583
2002-07-15,0.946774193548387
2002-08-15,0.9535483870967743
2002-09-15,0.6513333333333333
2002-10-15,0.4303225806451613
2002-11-15,0.5779999999999998
2002-12-15,0.5240000000000001
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,1.15375
2003-06-15,0.7206666666666667
2003-07-15,0.7390322580645163
2003-08-15,0.8451612903225808
2003-09-15,0.6160000000000001
2003-10-15,0.44354838709677424
2003-11-15,0.5226666666666667
2003-12-15,0.5487096774193548
2004-01-15,0.4058064516129033
2004-02-15,0.5241379310344827
2004-03-15,0.26466666666666666
2004-04-15,0.8806666666666667
2004-05-15,0.6835483870967745
2004-06-15,0.7016666666666668
2004-07-15,0.62875
2004-08-15,0.904516129032258
2004-09-15,1.0784615384615384
2004-10-15,0.3491666666666666
2004-11-15,0.501875
2004-12-15,0.8634999999999999
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
